"Stockbase Magento","Stockbase Magento"
"Here you find your Stockbase configuration, for setting this, go to:","Here you find your Stockbase configuration, for setting this, go to:"
"System > Configuration > Stockbase section","System > Configuration > Stockbase section"
"Stockbase configuration","Stockbase configuration"
"Your settings","Your settings"
"Your Stockbase username", "Username"
"Stockbase module enabled", "Stockbase Module enabled"
"Stockbase NOOS enabled", "Never-Out-Of-Stock enabled"
"Stockbase image import enabled", "Image import enabled"
"Stockbase EAN Field", "EAN Field"
"NOOS Cron Last runned on", "NOOS Cron Last runned on"
"Your credentials are NOT valid, please check your stockbase username/password", "Your credentials are NOT valid, please check your stockbase username/password"
"Your credentials are valid", "Your credentials are valid"
"Authentication status", "Authentication status"

"module_version", "Module version"
"enabled_module", "Module enabled"
"enabled_noos", "NOOS enabled"
"enabled_image", "Image import enabled"
"processed_images", "Count of processed images"
"order_prefix", "Order prefix"
"username", "Username"
"enviroment", "Enviroment"
"last_cron", "Last cron execution"
"This order was send to stockbase.", "This order was send to stockbase."
"production", "Production"
"development", "Development"
"stockbase module status", "Stockbase Module Status"
"configuration name", "Configuration name"
"configuration value", "Configuration value"
